name,user,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Óleo de Mujer Con Sombrero,javier,0.571,0.134,0,-14.65,1,0.0704,0.895,0,0.111,0.459,141.231,144632,4
Unicornio,javier,0.433,0.0417,10,-21.756,1,0.038,0.964,9e-5,0.0805,0.179,101.744,308510,4
I Don't Live Here Anymore (feat. Lucius),javier,0.476,0.867,5,-3.982,1,0.037,0.00327,3.42e-6,0.0962,0.466,110.026,327547,4
Escapar,javier,0.763,0.866,11,-4.615,1,0.0277,0.0386,1.03e-4,0.0826,0.901,125.96,208827,4
The Way I Are,javier,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,179120,4
Ojitos Lindos,javier,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-6,0.528,0.268,79.928,258299,4
Neverita,javier,0.876,0.498,10,-7.511,1,0.0478,0.0706,0,0.143,0.428,122.016,173119,4
Me Fui de Vacaciones,javier,0.714,0.645,10,-5.493,1,0.0514,0.229,8.3e-4,0.0942,0.434,85.046,180930,4
Demasiadas Mujeres,javier,0.658,0.453,9,-7.378,0,0.39,0.131,2e-4,0.0848,0.358,126.043,153960,4
"My Forbidden Lover (original Power 12"" Mix)",javier,0.794,0.744,0,-6.067,1,0.0544,0.0215,2.82e-5,0.0431,0.963,129.971,453352,4
In Chains,javier,0.502,0.956,11,-4.823,1,0.0705,0.00341,0.414,0.0848,0.627,137.646,440733,4
Good Vibrations,javier,0.711,0.951,1,-8.406,1,0.0537,0.00189,0.366,0.0229,0.903,121.656,269307,4
I Don't Wanna Wait,javier,0.612,0.654,2,-6.102,1,0.028,0.00898,0.0167,0.138,0.305,98.003,313253,4
Wasted,javier,0.435,0.919,0,-4.909,1,0.0447,1.34e-4,0.00361,0.247,0.485,80.971,250107,4
Living Proof,javier,0.604,0.157,9,-14.174,1,0.0315,0.892,0.169,0.113,0.126,116.032,293867,4
Selfless,javier,0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,222093,4
No Other Heart,javier,0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261,173118,4
Ode To The Mets,javier,0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,351787,4
Ooh Ahh (My Life Be Like) [feat. Tobymac],javier,0.757,0.862,2,-3.519,1,0.0696,0.115,2.03e-4,0.285,0.823,99.017,233173,4
Kiss Me More (feat. SZA),javier,0.762,0.701,8,-3.541,1,0.0286,0.235,1.58e-4,0.123,0.742,110.968,208867,4
"Preludes, Op. 28: No. 4, Largo",javier,0.376,0.0164,9,-25.933,0,0.0475,0.991,0.866,0.116,0.0364,108.821,131200,4
Empty City,javier,0.248,0.0432,7,-31.096,0,0.0372,0.984,0.917,0.106,0.288,76.648,196524,1
Me llamas,javier,0.711,0.684,2,-7.186,1,0.0286,0.256,2.64e-4,0.304,0.76,124.851,275067,4
Thank You,javier,0.725,0.583,1,-9.942,0,0.0427,0.3,2.38e-4,0.0665,0.762,79.984,218360,4
Midnight in Harlem,javier,0.447,0.557,9,-9.92,1,0.035,0.35,0.0145,0.11,0.43,152.058,352667,4
Walk With The Dreamers,javier,0.899,0.403,9,-11.817,0,0.053,0.312,0.306,0.103,0.95,112.016,206786,4
Ordinary Man,javier,0.649,0.673,6,-8.954,1,0.0668,0.0221,0.743,0.188,0.576,83.995,218359,4
Freedom,javier,0.859,0.79,1,-6.139,1,0.187,0.244,7.02e-5,0.0627,0.949,92.053,199307,4
Positive Mind Jazz,javier,0.707,0.305,9,-18.774,1,0.0625,0.118,0.87,0.104,0.521,147.975,209970,4
Until the Last Moment,javier,0.216,0.199,6,-18.43,0,0.032,0.948,0.981,0.0904,0.052,101.935,386187,3
telepatía,javier,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,160191,4
Fade,javier,0.752,0.765,9,-5.805,0,0.0908,0.118,0,0.31,0.309,105.998,193748,4
Money,javier,0.782,0.807,9,-2.892,0,0.0829,0.0816,1.44e-6,0.309,0.921,143.896,253733,4
Innerbloom,javier,0.729,0.72,3,-6.692,1,0.037,0.126,0.347,0.178,0.0389,122.011,578041,4
Koop Island Blues,javier,0.555,0.537,10,-9.041,0,0.0314,0.731,0.0524,0.287,0.521,79.239,276360,4
Venezia,javier,0.581,0.826,1,-5.603,1,0.0816,0.224,0.00128,0.0506,0.573,168.561,270680,4
That's the Way of the World,javier,0.586,0.552,1,-11.153,1,0.0488,0.593,0.00101,0.31,0.732,82,345507,4
Love Will Tear Us Apart,javier,0.443,0.956,2,-6.198,1,0.0511,5.24e-5,0.825,0.135,0.909,146.754,206867,4
ENCORE,javier,0,0,0,-60,0,0,0,0,0,0,0,20200,0
Mind Games - Remastered 2010,javier,0.409,0.833,4,-9.994,0,0.0397,0.292,0.158,0.161,0.428,132.233,253267,4
El Mañana,javier,0.644,0.728,9,-8.396,0,0.029,9.88e-4,0.0279,0.473,0.607,132.488,235360,4
YOU'RE THE ONE,javier,0.824,0.396,2,-9.663,1,0.332,0.0323,0.00286,0.108,0.253,118.048,227707,4
Golpes En El Corazón,javier,0.493,0.74,2,-6.364,1,0.0418,0.446,3.07e-6,0.98,0.577,113.158,281000,4
Fuentes de Ortiz,javier,0.83,0.159,1,-14.461,1,0.0383,0.946,2.02e-5,0.362,0.189,104.95,207400,4
"Canon and Gigue in D Major, P 37: I. Canon",javier,0.216,0.0797,2,-24.843,1,0.0523,0.851,9.44e-5,0.146,0.37,64.079,220893,4
Nights,javier,0.457,0.551,5,-9.36,0,0.167,0.427,1.15e-6,0.113,0.428,89.87,307151,4
When We’re Older,javier,0.229,0.223,3,-15.867,1,0.0388,0.9,0.668,0.104,0.0584,70.804,182589,4
Lost,javier,0.913,0.603,8,-4.892,1,0.226,0.0272,5.03e-4,0.167,0.497,123.061,234093,4
Godspeed,javier,0.399,0.0969,6,-12.578,1,0.0509,0.929,1.68e-4,0.121,0.0758,109.54,177922,4
Ivy,javier,0.575,0.386,9,-9.584,0,0.037,0.785,2.89e-4,0.229,0.466,116.408,249191,4
"Armory - From ""TRON: Legacy""/Score",javier,0.384,0.0475,5,-23.951,0,0.0372,0.677,0.924,0.115,0.033,95.997,122987,4
