name,user,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Outlands - From ""TRON: Legacy""/Score",javier,0.571,0.449,0,-16.077,1,0.0382,0.818,0.688,0.281,0.172,113.165,162480,4
"End of Line - From ""TRON: Legacy""/Score",javier,0.354,0.449,9,-11.353,1,0.03,5.13e-4,0.778,0.344,0.0397,195.983,156480,4
Separate Ways (Worlds Apart),javier,0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17e-6,0.277,0.377,131.435,323707,4
Say What You Will,javier,0.504,0.361,1,-10.625,1,0.0357,0.963,0.00636,0.179,0.248,78.158,280994,4
Las Mañanitas - Cumbia,javier,0.725,0.816,7,-6.071,1,0.0427,0.18,1.98e-4,0.0688,0.869,103.993,194235,4
Life Round Here,javier,0.605,0.661,10,-9.476,0,0.0443,0.455,0.326,0.109,0.259,144.968,217120,4
Cayendo (Side A - Acoustic),javier,0.35,0.12,3,-11.104,0,0.0393,0.982,2.89e-4,0.103,0.121,68.995,202200,4
Dunno,javier,0.622,0.229,1,-11.322,1,0.0445,0.768,0.00906,0.134,0.0998,81.87,237093,4
"The Son of Flynn - From ""TRON: Legacy""/Score",javier,0.543,0.775,0,-17.616,0,0.052,0.901,0.902,0.258,0.0222,106.018,95227,4
"The Grid - From ""TRON: Legacy""/Score",javier,0.548,0.496,1,-13.466,1,0.0355,0.302,0.135,0.321,0.0973,102.062,96747,5
"Solar Sailer - From ""TRON: Legacy""/Score",javier,0.179,0.167,1,-23.408,1,0.0394,0.852,0.748,0.106,0.0399,124.266,162120,3
Meki,javier,0.743,0.545,5,-8.008,0,0.315,0.544,0.00104,0.14,0.534,167.981,245623,4
Pobre Rico,javier,0.579,0.339,10,-18.565,0,0.38,0.32,0,0.112,0.602,82.402,178994,4
Jerusalema (feat. Nomcebo Zikode),javier,0.88,0.483,1,-7.012,1,0.0505,0.0185,8.68e-6,0.0607,0.827,124.009,342613,4
No Elegi Conocerte,javier,0.86,0.4,2,-7.131,1,0.0538,0.182,3.17e-6,0.0581,0.813,129.925,254853,4
Break My Stride,javier,0.917,0.588,10,-11.047,1,0.0607,0.195,0,0.0914,0.828,110.077,184480,4
Over the Rainbow,javier,0.671,0.153,0,-13.569,1,0.0404,0.912,5.53e-5,0.0771,0.658,85.6,211933,4
Send Me on My Way,javier,0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-5,0.139,0.745,119.46,263333,4
The Trip,javier,0.697,0.736,11,-6.594,0,0.0384,0.167,0.00878,0.124,0.42,120,374240,4
Attenti al lupo,javier,0.859,0.753,0,-5.85,1,0.0348,0.729,1.14e-6,0.135,0.923,107.078,259480,4
Huapango de Moncayo,javier,0.347,0.346,7,-15.134,1,0.0683,0.878,0.86,0.659,0.403,94.53,524093,4
Besos Suaves,javier,0.581,0.611,6,-6.962,0,0.109,0.185,0,0.121,0.628,82.028,199720,4
Sugar Magnolia - 2001 Remaster,javier,0.598,0.563,1,-10.659,0,0.0458,0.175,2.63e-6,0.117,0.6,154.626,197360,4
New Speedway Boogie - 2013 Remaster,javier,0.72,0.36,11,-11.061,0,0.0362,0.576,2.1e-6,0.118,0.616,120.173,246117,4
Where Is My Mind,javier,0.333,0.114,9,-21.255,1,0.0453,0.906,0.96,0.119,0.0566,141.839,165160,4
This Year's Love,javier,0.33,0.167,8,-11.635,1,0.0311,0.731,3.08e-5,0.101,0.202,164.954,245533,3
Agbada Bougou,javier,0.805,0.511,1,-9.478,1,0.0432,0.13,0.829,0.0605,0.416,100.144,326773,4
Keep Moving,javier,0.724,0.603,10,-6.261,0,0.0317,0.183,4.69e-4,0.0948,0.569,111.493,240880,4
Me Vas a Extrañar,javier,0.756,0.526,8,-5.379,1,0.0408,0.581,1.08e-5,0.0875,0.94,144.942,176800,3
Tú Me Dejaste De Querer,javier,0.823,0.723,4,-4.778,0,0.229,0.311,0.00315,0.0998,0.505,83.97,198493,4
River Flows In You,javier,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,188787,4
Hit Me With Your Best Shot - 1999 Digital Remaster,javier,0.715,0.702,4,-6.055,1,0.0296,0.109,7.73e-6,0.255,0.954,127.446,171293,4
TERRITORY,javier,0.563,0.44,9,-11.943,0,0.0822,0.286,0.683,0.269,0.213,120.009,276373,4
Anoche Soñé Contigo,javier,0.565,0.547,11,-9.129,1,0.0385,0.416,0,0.102,0.399,91.95,244933,4
Seabird,javier,0.759,0.459,0,-8.738,0,0.0286,0.78,0.00218,0.0881,0.277,99.949,182000,4
